log_id,date,machine_id,maintenance_type,technician_notes,downtime_hours,parts_replaced,cost_idr
ML-0001,2025-07-26,M-06,Preventive,"Inspeksi rutin, ganti oli",2.4,Sensor,2731555
ML-0002,2025-11-22,M-08,Corrective,"Belt putus, ganti belt dan pulley",9.6,Seal,9427034
ML-0003,2025-10-05,M-09,Corrective,"Motor overheat, ganti komponen pendingin",19.2,Valve,6882664
ML-0004,2025-08-10,M-16,Corrective,"Belt putus, ganti belt dan pulley",23.0,Bearing,5193784
ML-0005,2025-08-31,M-14,Preventive,"Cek electrical connection, test safety switch",4.6,Valve,1315839
ML-0006,2025-11-30,M-02,Corrective,"Motor overheat, ganti komponen pendingin",14.2,Filter,5763765
ML-0007,2025-09-21,M-05,Corrective,"Bearing aus, perlu penggantian",9.1,Bearing,13304349
ML-0008,2025-07-01,M-14,Corrective,"Belt putus, ganti belt dan pulley",23.2,Belt,8654635
ML-0009,2025-08-06,M-01,Preventive,"Lubrikasi komponen, cek belt",5.4,Seal,2537231
ML-0010,2025-10-03,M-15,Preventive,"Lubrikasi komponen, cek belt",2.6,Sensor,964067
ML-0011,2025-10-26,M-04,Corrective,"Bearing aus, perlu penggantian",23.8,Bearing,10547583
ML-0012,2025-09-24,M-19,Emergency,Short circuit pada panel kontrol,71.7,Seal,39501697
ML-0013,2025-12-21,M-07,Corrective,"Belt putus, ganti belt dan pulley",18.8,Filter,11403165
ML-0014,2025-10-24,M-13,Corrective,"Bearing aus, perlu penggantian",20.4,N/A,11682760
ML-0015,2025-11-16,M-16,Preventive,"Lubrikasi komponen, cek belt",7.4,Motor,2020054
ML-0016,2025-07-09,M-18,Preventive,"Inspeksi rutin, ganti oli",6.5,Bearing,1714077
ML-0017,2025-08-03,M-17,Preventive,"Inspeksi rutin, ganti oli",6.4,Filter,2696940
ML-0018,2025-08-09,M-08,Preventive,"Lubrikasi komponen, cek belt",3.6,Sensor,1355974
ML-0019,2025-07-05,M-06,Preventive,"Cek electrical connection, test safety switch",2.4,Bearing,937932
ML-0020,2025-07-26,M-04,Corrective,"Sensor rusak, ganti sensor baru",8.3,N/A,13531663
ML-0021,2025-11-21,M-12,Emergency,Kegagalan sistem pendingin kritis,60.7,Valve,46165198
ML-0022,2025-11-21,M-02,Corrective,"Sensor rusak, ganti sensor baru",9.6,Motor,7392873
ML-0023,2025-09-24,M-03,Corrective,"Belt putus, ganti belt dan pulley",8.6,Seal,8907195
ML-0024,2025-10-25,M-11,Corrective,"Belt putus, ganti belt dan pulley",14.5,Filter,3892325
ML-0025,2025-09-22,M-18,Emergency,"Mesin berhenti total, kerusakan motor utama",70.7,Pump,40698221
ML-0026,2025-09-15,M-01,Preventive,"Lubrikasi komponen, cek belt",7.3,Sensor,1739175
ML-0027,2025-10-31,M-15,Preventive,"Inspeksi rutin, ganti oli",4.5,Bearing,585309
ML-0028,2025-10-15,M-13,Corrective,"Motor overheat, ganti komponen pendingin",11.5,Seal,13421681
ML-0029,2025-08-24,M-06,Preventive,"Lubrikasi komponen, cek belt",6.2,Filter,1297290
ML-0030,2025-07-29,M-05,Preventive,"Cek electrical connection, test safety switch",5.5,Seal,931546
