timestamp,machine_id,temperature,vibration,pressure,rpm,power_consumption,noise_level,humidity,operating_hours,failure
2025-07-01 00:00,M-01,72.1,0.52,104.2,2401,84.9,69.7,50.0,7.2,0
2025-07-01 00:00,M-02,72.8,0.42,100.6,2342,70.5,69.8,51.6,3.9,0
2025-07-01 00:00,M-03,69.6,0.5,101.7,2282,70.8,64.9,57.1,0,0
2025-07-01 00:00,M-04,72.7,0.61,101.1,2531,83.1,67.4,52.5,8.0,0
2025-07-01 00:00,M-05,73.0,0.43,101.5,2480,69.6,70.5,64.6,0,0
2025-07-01 00:00,M-06,74.2,0.49,100.7,2354,68.0,72.7,51.2,14.9,0
2025-07-01 00:00,M-07,71.8,0.39,100.4,2336,77.7,67.4,51.8,8.6,0
2025-07-01 00:00,M-08,73.5,0.28,99.5,2237,75.7,67.4,59.9,18.3,0
2025-07-01 00:00,M-09,71.9,0.43,101.3,2539,77.3,72.6,59.9,0,0
2025-07-01 00:00,M-10,71.2,0.61,102.1,2549,74.0,68.0,49.5,13.9,0
2025-07-01 00:00,M-11,75.3,0.33,97.2,2429,66.6,70.1,46.1,0,0
2025-07-01 00:00,M-12,71.3,0.33,99.6,2412,76.4,69.2,55.6,5.5,0
2025-07-01 00:00,M-13,65.8,0.47,100.1,2354,73.7,68.5,60.1,0,0
2025-07-01 00:00,M-14,73.3,0.59,97.7,2358,79.5,68.3,53.8,1.7,0
2025-07-01 00:00,M-15,70.2,0.56,100.7,2517,67.7,67.9,49.3,2.0,0
2025-07-01 00:00,M-16,72.6,0.35,103.0,2491,83.6,78.0,55.4,0,0
2025-07-01 00:00,M-17,68.7,0.39,100.9,2419,72.1,64.2,61.6,10.6,0
2025-07-01 00:00,M-18,76.6,0.41,103.8,2241,71.4,73.7,46.0,4.4,0
2025-07-01 00:00,M-19,68.7,0.46,100.6,2474,82.5,69.2,47.6,1.9,0
2025-07-01 00:00,M-20,74.8,0.47,104.3,2376,84.0,66.7,54.4,10.1,0
2025-07-01 01:00,M-01,75.0,0.6,97.2,2263,71.1,72.4,59.4,0,0
2025-07-01 01:00,M-02,66.0,0.43,102.1,2279,72.0,65.0,76.4,0,0
2025-07-01 01:00,M-03,76.3,0.39,102.8,2413,75.2,68.3,54.5,2.7,0
2025-07-01 01:00,M-04,73.6,0.48,103.4,2591,80.4,68.5,39.0,0,0
2025-07-01 01:00,M-05,75.0,0.55,101.8,2566,71.9,75.6,48.5,0,0
2025-07-01 01:00,M-06,70.7,0.47,100.3,2418,75.1,72.4,48.5,0,0
2025-07-01 01:00,M-07,69.6,0.24,98.0,2589,71.3,66.6,47.2,0,0
2025-07-01 01:00,M-08,72.8,0.24,99.8,2446,76.9,72.9,32.2,0,0
2025-07-01 01:00,M-09,72.6,0.44,100.5,2392,68.8,70.2,67.8,0,0
2025-07-01 01:00,M-10,70.6,0.5,99.7,2334,82.7,78.1,64.2,9.5,0
2025-07-01 01:00,M-11,70.0,0.46,98.5,2386,67.7,71.8,49.5,0,0
2025-07-01 01:00,M-12,71.2,0.44,102.4,2438,64.2,72.7,65.3,2.0,0
2025-07-01 01:00,M-13,67.8,0.36,98.2,2296,77.1,70.6,63.8,0,0
2025-07-01 01:00,M-14,68.2,0.52,102.3,2359,78.1,74.9,53.1,1.9,0
2025-07-01 01:00,M-15,70.7,0.66,101.0,2381,69.3,72.8,60.8,22.4,0
2025-07-01 01:00,M-16,64.0,0.45,100.5,2381,77.4,70.3,59.9,0,0
2025-07-01 01:00,M-17,69.4,0.54,101.8,2370,80.4,69.9,59.2,0,0
2025-07-01 01:00,M-18,72.7,0.5,102.0,2416,66.3,73.3,35.7,5.5,0
2025-07-01 01:00,M-19,77.1,0.51,104.0,2523,83.6,67.7,56.5,0,0
2025-07-01 01:00,M-20,73.9,0.52,98.3,2414,69.3,70.7,40.5,13.9,0
2025-07-01 02:00,M-01,78.8,0.35,102.1,2391,79.8,70.1,52.5,7.4,0
2025-07-01 02:00,M-02,76.2,0.46,100.9,2507,74.9,66.4,64.1,2.3,0
2025-07-01 02:00,M-03,77.2,0.5,103.5,2410,79.5,69.2,51.6,6.2,0
2025-07-01 02:00,M-04,72.5,0.35,101.2,2487,71.1,74.0,67.5,2.5,0
